Designlator,Val,Package,MidX,MidY,Rotation,Layer
"C15","470nF","C_1210_3225Metric",18.525000,-14.500000,180.000000,top
"C15","470nF","C_1210_3225Metric",18.500000,-21.500000,180.000000,top
"C16","470nF","C_1210_3225Metric",18.475000,-25.000000,180.000000,top
"C17","470nF","C_1210_3225Metric",18.475000,-29.000000,180.000000,top
"C18","470nF","C_1210_3225Metric",18.475000,-36.000000,180.000000,top
"C19","470nF","C_1210_3225Metric",18.475000,-40.000000,180.000000,top
"C20","470nF","C_1210_3225Metric",18.475000,-44.000000,180.000000,top
"C21","470nF","C_1210_3225Metric",18.475000,-50.500000,180.000000,top
"C22","470nF","C_1210_3225Metric",18.475000,-65.000000,180.000000,top
"C23","470nF","C_1210_3225Metric",18.475000,-54.500000,180.000000,top
"C24","470nF","C_1210_3225Metric",18.475000,-59.000000,180.000000,top
"C25","330uF","CAP-SMD_BD12.5-L13.5-W13.5-FD-1",8.600000,-17.500000,0.000000,top
"C26","330uF","CAP-SMD_BD12.5-L13.5-W13.5-FD-1",8.600000,-32.340000,0.000000,top
"C27","330uF","CAP-SMD_BD12.5-L13.5-W13.5-FD-1",8.600000,-47.180000,0.000000,top
"C28","330uF","CAP-SMD_BD12.5-L13.5-W13.5-FD-1",8.600000,-62.020000,0.000000,top
"J1","gates_A","PinHeader_2x02_P2.00mm_Vertical_SMD",58.000000,-37.500000,90.000000,top
"J2","gates_B","PinHeader_2x03_P2.00mm_Vertical_SMD",97.000000,-37.500000,90.000000,top
"J3","SH2","PinHeader_2x01_P2.00mm_Vertical_SMD",97.000000,-61.500000,-90.000000,top
"J4","SH1","PinHeader_2x01_P2.00mm_Vertical_SMD",58.000000,-61.500000,-90.000000,top
"J5","gates_C","PinHeader_2x03_P2.00mm_Vertical_SMD",137.000000,-37.500000,90.000000,top
"J6","SH3","PinHeader_2x01_P2.00mm_Vertical_SMD",137.000000,-61.500000,-90.000000,top
"Q1","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",49.300000,-25.000000,0.000000,top
"Q2","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",38.300000,-25.000000,0.000000,top
"Q3","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",27.300000,-25.000000,0.000000,top
"Q4","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",49.300000,-50.000000,0.000000,top
"Q5","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",38.300000,-50.000000,0.000000,top
"Q6","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",27.300000,-50.000000,0.000000,top
"Q7","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",77.300000,-25.000000,0.000000,top
"Q8","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",66.300000,-50.000000,0.000000,top
"Q9","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",88.300000,-25.000000,0.000000,top
"Q10","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",77.300000,-50.000000,0.000000,top
"Q11","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",66.300000,-25.000000,0.000000,top
"Q12","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",88.300000,-50.000000,0.000000,top
"Q13","TOLL","TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL",106.000000,-25.000000,0.000000,top
