Designator,Mid X,Mid Y,Rotation,Layer
_4,134.4,-45.0,0.0,top
_3,6.1,-45.0,0.0,top
_2,126.4,-45.0,0.0,top
,14.1,-45.0,0.0,top
C1_2,137.975,-62.1,0.0,top
C1,2.65,-27.65,180.0,top
C10_2,137.975,-27.7,0.0,top
C10,2.65,-62.05,180.0,top
C15_2,2.65,-24.45,180.0,top
C15,137.975,-65.3,0.0,top
C16_2,2.65,-21.25,180.0,top
C16,137.975,-68.5,0.0,top
C17,2.65,-14.85,180.0,top
C18_2,137.975,-71.7,0.0,top
C18,2.65,-18.05,180.0,top
C19,2.65,-11.65,180.0,top
C2_2,137.975,-58.9,0.0,top
C2,2.65,-30.85,180.0,top
C20,137.975,-11.7,0.0,top
C21,137.975,-14.9,0.0,top
C22_2,137.975,-18.1,0.0,top
C22,2.65,-71.65,180.0,top
C23_2,2.65,-68.45,180.0,top
C23,137.975,-21.3,0.0,top
C24_2,137.975,-24.5,0.0,top
C24,2.65,-65.25,180.0,top
C3_2,2.65,-34.05,180.0,top
C3,137.975,-55.7,0.0,top
C4_2,137.975,-52.5,0.0,top
C4,2.65,-37.25,180.0,top
C5_2,137.975,-49.3,0.0,top
C5,2.65,-40.45,180.0,top
C6_2,2.65,-49.25,180.0,top
C6,137.975,-40.5,0.0,top
C7_2,137.975,-37.3,0.0,top
C7,2.65,-52.45,180.0,top
C8_2,2.65,-55.65,180.0,top
C8,137.975,-34.1,0.0,top
C9_2,137.975,-30.9,0.0,top
C9,2.65,-58.85,180.0,top
J3,87.0,-65.0,0.0,top
J4,52.0,-65.0,0.0,top
J6,120.5,-65.0,0.0,top
Q1,44.6,-29.3,0.0,top
Q10,69.35,-54.3,0.0,top
Q11,58.8,-29.3,0.0,top
Q12,79.9,-54.3,0.0,top
Q13,93.6,-29.3,0.0,top
Q14,93.6,-54.35,0.0,top
Q15,104.15,-29.3,0.0,top
Q16,104.15,-54.3,0.0,top
Q17,114.7,-29.3,0.0,top
Q18,114.7,-54.3,0.0,top
Q2,34.05,-29.3,0.0,top
Q3,23.5,-29.3,0.0,top
Q4,44.6,-54.3,0.0,top
Q5,34.05,-54.3,0.0,top
Q6,23.5,-54.3,0.0,top
Q7,69.35,-29.3,0.0,top
Q8,58.8,-54.3,0.0,top
Q9,79.9,-29.3,0.0,top
R1,51.7,-32.85,180.0,top
R10,86.75,-32.6,180.0,top
R11,86.7,-55.9,180.0,top
R12,69.95,-65.2,270.0,top
R13,45.2,-65.2,270.0,top
R14,86.75,-29.7,180.0,top
R15,86.7,-57.4,180.0,top
R16,34.65,-65.2,270.0,top
R17,59.4,-65.2,270.0,top
R18,121.75,-34.55,180.0,top
R2,51.45,-57.75,180.0,top
R3,51.7,-34.75,180.0,top
R4,51.45,-59.25,180.0,top
R47,121.6,-59.8,0.0,top
R48,121.75,-29.5,180.0,top
R49,51.7,-31.35,180.0,top
R5,86.75,-34.1,180.0,top
R50,51.45,-56.35,180.0,top
R51,121.6,-54.6,180.0,top
R52,94.2,-65.2,270.0,top
R53,51.7,-29.85,180.0,top
R54,51.45,-54.85,180.0,top
R55,24.1,-65.2,270.0,top
R56,121.75,-30.95,180.0,top
R57,121.6,-56.1,180.0,top
R58,104.75,-65.2,270.0,top
R59,121.75,-32.4,180.0,top
R6,86.7,-58.9,180.0,top
R60,121.6,-57.6,180.0,top
R61,115.3,-65.2,270.0,top
R7,86.75,-31.15,180.0,top
R8,86.7,-54.4,180.0,top
R9,80.5,-65.2,270.0,top
TH1,88.5,-35.6,0.0,top
